customer_identifier,total_transactions,average_spend,item_in_basket,treatment,total_transactions_post,average_spend_post
1296667,39,90.01,25,1,40,90.01
1414700,35,84.5,23,1,36,84.5
1107386,50,63.31,24,1,52,63.31
1422719,31,78.35,18,1,32,78.35
1124294,32,84.03,18,1,33,84.03
1273783,50,68.39,21,1,52,68.39
1442867,28,69.05,15,1,29,69.05
1083006,50,82.95,29,1,52,82.95
1257003,38,72.08,21,1,39,72.08
1192733,26,83.78,18,1,27,83.78
1153840,37,90.7,24,1,38,90.7
1076403,35,92.74,16,1,36,92.74
1264399,46,66.47,21,1,47,66.47
1126617,40,68.34,13,1,41,68.34
1059363,32,67.9,17,1,33,67.9
1155516,41,78.97,32,1,42,78.97
1255331,43,80.62,26,1,44,80.62
1153478,40,77.09,21,1,41,77.09
1136831,28,74.03,21,1,29,74.03
1459349,32,81.92,18,1,33,81.92
1079969,34,81.95,14,1,35,81.95
1248704,49,64.13,15,1,51,64.13
1305351,43,98.77,26,1,44,98.77
1286389,27,69.9,20,1,28,69.9
1174137,38,88.65,22,1,39,88.65
1001107,26,71.98,27,1,27,71.98
1071716,20,107.99,22,1,21,107.99
1140598,38,70.95,31,1,39,70.95
1228124,32,78.8,27,1,33,78.8
1227102,35,77.24,16,1,36,77.24
1067242,41,67.28,21,1,42,67.28
1374483,40,76.23,19,1,41,76.23
1141768,37,85.89,21,1,38,85.89
1268538,34,67.15,30,1,35,67.15
1261830,26,90.36,25,1,27,90.36
1280704,32,78.23,20,1,33,78.23
1487517,37,69.42,16,1,38,69.42
1444468,23,72.85,16,1,24,72.85
1466007,39,71.81,28,1,40,71.81
1183323,25,71.42,22,1,26,71.42
1401555,35,78.94,23,1,36,78.94
1130432,40,76.95,27,1,41,76.95
1443164,48,93.85,14,1,49,93.85
1236291,37,83.79,16,1,38,83.79
1090696,40,93.39,24,1,41,93.39
1434643,44,84.23,28,1,45,84.23
1385975,32,88.48,22,1,33,88.48
1217170,38,73.58,18,1,39,73.58
1074757,44,82.61,30,1,45,82.61
1038144,40,76,18,1,41,76
1440106,33,79.36,27,1,34,79.36
1132327,35,94.55,27,1,36,94.55
1403120,25,87.52,31,1,26,87.52
1176442,32,82.2,20,1,33,82.2
1231046,40,71.08,32,1,41,71.08
1085848,25,78.91,24,1,26,78.91
1020474,37,87.02,19,1,38,87.02
1017609,42,87.72,20,1,43,87.72
1218079,43,65.99,24,1,44,65.99
1486173,37,85.71,20,1,38,85.71
1316714,44,74.43,18,1,45,74.43
1303120,41,82.44,21,1,42,82.44
1449019,41,79.02,29,1,42,79.02
1112510,36,80.21,11,1,37,80.21
1268289,38,65.18,20,1,39,65.18
1003749,35,65.78,22,1,36,65.78
1447163,42,68.48,27,1,43,68.48
1258659,35,81.99,19,1,36,81.99
1170223,20,67.81,19,1,21,67.81
1284568,38,82.79,20,1,39,82.79
1307002,44,84.29,23,1,45,84.29
1272435,34,71.05,15,1,35,71.05
1014451,44,83.41,22,1,45,83.41
1190845,34,80.22,18,1,35,80.22
1202692,33,80.56,20,1,34,80.56
1316114,39,84.8,19,1,40,84.8
1256916,38,80.65,18,1,39,80.65
1490793,50,72.85,14,1,52,72.85
1498969,49,75.97,20,1,51,75.97
1413951,38,84.13,27,1,39,84.13
1477419,41,77.91,23,1,42,77.91
1403279,27,77.85,21,1,28,77.85
1091647,33,91,9,1,34,91
1084297,44,77.49,18,1,45,77.49
1449224,34,73.67,23,1,35,73.67
1487333,18,83.59,19,1,19,83.59
1217215,41,78.78,33,1,42,78.78
1424843,35,85.37,15,1,36,85.37
1445679,43,80.3,24,1,44,80.3
1277926,23,80.77,19,1,24,80.77
1035998,31,69.22,21,1,32,69.22
1104238,45,85.29,17,1,46,85.29
1335961,30,85.1,23,1,31,85.1
1173369,32,68.8,17,1,33,68.8
1271368,35,78.45,16,1,36,78.45
1458106,36,75.73,28,1,37,75.73
1001025,36,79.09,15,1,37,79.09
1430546,37,88.05,13,1,38,88.05
1034736,37,84.27,21,1,38,84.27
1079984,32,73.55,17,1,33,73.55
1223386,42,79.74,25,1,43,79.74
1494566,33,85.8,17,1,34,85.8
1456261,35,93.4,24,1,36,93.4
1326152,32,73.33,21,1,33,73.33
1494966,24,85.05,21,1,25,85.05
1043838,41,67.3,15,1,42,67.3
1023543,39,84.95,18,1,40,84.95
1028157,36,75.75,21,1,37,75.75
1368554,30,69.12,21,1,31,69.12
1060225,35,57.92,28,1,36,57.92
1131797,40,77,12,1,41,77
1342156,32,88.77,20,1,33,88.77
1155257,44,91.39,27,1,45,91.39
1080157,28,81.79,17,1,29,81.79
1357400,41,76.61,15,1,42,76.61
1066457,35,70.76,17,1,36,70.76
1199385,26,85.13,21,1,27,85.13
1079727,31,87.18,29,1,32,87.18
1348096,42,69.8,23,1,43,69.8
1249658,34,97.32,17,1,35,97.32
1090219,34,83.6,24,1,35,83.6
1204277,36,83.21,22,1,37,83.21
1034163,39,81.93,13,1,40,81.93
1186740,36,95.03,17,1,37,95.03
1090259,36,84.94,20,1,37,84.94
1084747,29,69.61,24,1,30,69.61
1366379,38,88.41,26,1,39,88.41
1322259,44,75.07,9,1,45,75.07
1361539,34,87.34,20,1,35,87.34
1103847,35,73.44,25,1,36,73.44
1235218,34,78.98,24,1,35,78.98
1172028,46,72.94,15,1,47,72.94
1180945,29,96,25,1,30,96
1244943,42,88.89,17,1,43,88.89
1026097,31,68.09,25,1,32,68.09
1423427,39,76.39,24,1,40,76.39
1114956,40,83.67,19,1,41,83.67
1258798,40,77.64,18,1,41,77.64
1471533,36,71.49,11,1,37,71.49
1176713,36,65.03,15,1,37,65.03
1478762,42,92.27,12,1,43,92.27
1291485,37,68.5,19,1,38,68.5
1160943,42,84.36,22,1,43,84.36
1009622,29,78.79,20,1,30,78.79
1240354,42,76.97,17,1,43,76.97
1177545,37,67.17,21,1,38,67.17
1414263,32,92.24,18,1,33,92.24
1381300,45,67.47,8,1,46,67.47
1301477,38,70.83,21,1,39,70.83
1392084,36,82.49,27,1,37,82.49
1120395,37,83.05,17,1,38,83.05
1139289,31,87.32,19,1,32,87.32
1132747,34,90.28,15,1,35,90.28
1332802,34,79.64,18,1,35,79.64
1267476,37,94.33,18,1,38,94.33
1416688,32,75.12,23,1,33,75.12
1395990,34,75.49,14,1,35,75.49
1327512,45,83.12,26,1,46,83.12
1311281,38,71.79,16,1,39,71.79
1427888,21,76.12,16,1,22,76.12
1318906,32,75.06,23,1,33,75.06
1056894,34,75.73,20,1,35,75.73
1469149,54,73.86,27,1,56,73.86
1125111,36,68.13,20,1,37,68.13
1267997,39,89.9,23,1,40,89.9
1375393,32,78.15,20,1,33,78.15
1447902,46,88.33,18,1,47,88.33
1018358,40,86.97,19,1,41,86.97
1219850,45,73.49,18,1,46,73.49
1151532,31,83.46,19,1,32,83.46
1457365,43,72.7,22,1,44,72.7
1410766,43,79.09,15,1,44,79.09
1129419,30,81.68,19,1,31,81.68
1368706,37,88.29,20,1,38,88.29
1414658,24,80.24,21,1,25,80.24
1410338,31,74.03,25,1,32,74.03
1335743,36,72.17,12,1,37,72.17
1252195,35,78.7,16,1,36,78.7
1356243,32,93.01,16,1,33,93.01
1452309,33,99.09,25,1,34,99.09
1058274,38,78.34,21,1,39,78.34
1191799,36,89.76,17,1,37,89.76
1227773,36,86.8,15,1,37,86.8
1173585,34,81.71,23,1,35,81.71
1004686,32,74.53,24,1,33,74.53
1085137,35,87.42,17,1,36,87.42
1140016,40,82.91,20,1,41,82.91
1456467,40,77.4,23,1,41,77.4
1109433,41,89.18,20,1,42,89.18
1286152,36,86.47,22,1,37,86.47
1198400,39,79.7,19,1,40,79.7
1010520,36,83.27,24,1,37,83.27
1399273,37,73.94,19,1,38,73.94
1405125,39,81.61,14,1,40,81.61
1374591,36,88.21,19,1,37,88.21
1066350,31,84.35,18,1,32,84.35
1198186,44,81.58,25,1,45,81.58
1493673,34,81.65,12,1,35,81.65
1216329,30,84.82,20,1,31,84.82
1187617,38,87.42,17,1,39,87.42
1053748,32,80.31,21,1,33,80.31
1473694,33,87.62,23,1,34,87.62
1170031,30,85.62,15,1,31,85.62
1006482,33,85.23,19,1,34,85.23
1033936,35,64.69,11,1,36,64.69
1097829,34,84.39,29,1,35,84.39
1208304,37,69.8,21,1,38,69.8
1213862,32,89.14,17,1,33,89.14
1349903,37,78.21,18,1,38,78.21
1376099,28,72.98,13,1,29,72.98
1329674,35,88.74,11,1,36,88.74
1490499,34,89.2,21,1,35,89.2
1027514,42,74.49,17,1,43,74.49
1100776,39,74.62,24,1,40,74.62
1458397,27,79.65,23,1,28,79.65
1255608,33,73.73,21,1,34,73.73
1363090,41,79.71,14,1,42,79.71
1300256,34,80.01,26,1,35,80.01
1341563,30,82.19,18,1,31,82.19
1046465,35,80.83,21,1,36,80.83
1127014,41,84.04,25,1,42,84.04
1426531,34,72.92,23,1,35,72.92
1113237,40,91.9,17,1,41,91.9
1071981,32,72.28,24,1,33,72.28
1383020,32,78.16,21,1,33,78.16
1128593,34,88.23,27,1,35,88.23
1220412,43,85.89,20,1,44,85.89
1063083,48,74.65,21,1,49,74.65
1254087,36,74.78,24,1,37,74.78
1322749,33,85.3,21,1,34,85.3
1420638,29,71.08,13,1,30,71.08
1079462,38,91.2,15,1,39,91.2
1224483,32,82.14,26,1,33,82.14
1460475,37,77.81,20,1,38,77.81
1371283,34,84.5,20,1,35,84.5
1150547,44,76.94,15,1,45,76.94
1273413,44,83.62,19,1,45,83.62
1229220,41,71.67,15,1,42,71.67
1454155,47,86.55,24,1,48,86.55
1411418,44,88.04,20,1,45,88.04
1394739,39,84.86,21,1,40,84.86
1274137,34,78.02,18,1,35,78.02
1092653,38,83.9,21,1,39,83.9
1115429,38,80.64,21,1,39,80.64
1376274,37,72.33,24,1,38,72.33
1460663,39,69.11,17,1,40,69.11
1062177,26,85.15,18,1,27,85.15
1081540,47,85.54,19,1,48,85.54
1003564,44,72.5,16,1,45,72.5
1355129,32,67.02,25,1,33,67.02
1456548,32,73.03,19,1,33,73.03
1340188,33,81.84,27,1,34,81.84
1127688,34,88.12,24,1,35,88.12
1025112,34,85.38,24,1,35,85.38
1468017,32,74.01,23,1,33,74.01
1287546,39,94.31,19,1,40,94.31
1061989,27,77.39,23,1,28,77.39
1454425,31,76.21,15,1,32,76.21
1143241,33,88.86,26,1,34,88.86
1065850,33,85.55,18,1,34,85.55
1458429,35,88.17,17,1,36,88.17
1294257,40,70.21,19,1,41,70.21
1321572,33,88.14,14,1,34,88.14
1010031,32,79.05,18,1,33,79.05
1144504,33,87.13,28,1,34,87.13
1396793,41,91.58,17,1,42,91.58
1091754,48,82.68,18,1,49,82.68
1335274,47,86.75,24,1,48,86.75
1088755,43,83.23,24,1,44,83.23
1253397,41,96.06,17,1,42,96.06
1113849,42,84.77,30,1,43,84.77
1053617,37,75.31,27,1,38,75.31
1260779,53,76.25,14,1,55,76.25
1379072,36,83.21,22,1,37,83.21
1392862,24,88.39,23,1,25,88.39
1373468,38,72.75,18,1,39,72.75
1215826,32,82.88,24,1,33,82.88
1453781,34,79.01,19,1,35,79.01
1167859,37,90.54,17,1,38,90.54
1233536,27,76.05,27,1,28,76.05
1347014,32,70.16,24,1,33,70.16
1447189,47,80.92,18,1,48,80.92
1042156,41,82.29,10,1,42,82.29
1402956,37,80.47,18,1,38,80.47
1266872,45,76.66,18,1,46,76.66
1014550,38,81.33,21,1,39,81.33
1471923,41,74.86,18,1,42,74.86
1311996,40,81.75,20,1,41,81.75
1421846,42,65.53,17,1,43,65.53
1355637,43,75.16,14,1,44,75.16
1481357,31,80.05,29,1,32,80.05
1246095,29,90.42,17,1,30,90.42
1132628,34,77.08,16,1,35,77.08
1228814,42,72.72,20,1,43,72.72
1405412,25,80.84,22,1,26,80.84
1095573,23,77.41,18,1,24,77.41
1257125,30,83.83,20,1,31,83.83
1170683,40,78.08,18,1,41,78.08
1180602,25,75.3,23,1,26,75.3
1303127,29,96.36,17,1,30,96.36
1459530,44,72.36,26,1,45,72.36
1379757,34,84,19,1,35,84
1232169,24,81.4,18,1,25,81.4
1356725,46,78.48,17,1,47,78.48
1138868,27,77.77,13,1,28,77.77
